,museum,ID,infraorder,genus,species,subspecies,sex,side,rear,locomotion,taxon
AMNH211495Alouatta,AMNH,211495,Platyrrhini,Alouatta,caraya,NA,F,R,W,AQ/Susp,Alouatta_caraya
AMNH211496Alouatta,AMNH,211496,Platyrrhini,Alouatta,caraya,NA,M,R,W,AQ/Susp,Alouatta_caraya
AMNH211498Alouatta,AMNH,211498,Platyrrhini,Alouatta,caraya,NA,M,R,W,AQ/Susp,Alouatta_caraya
AMNH211501Alouatta,AMNH,211501,Platyrrhini,Alouatta,caraya,NA,F,R,W,AQ/Susp,Alouatta_caraya
AMNH211502Alouatta,AMNH,211502,Platyrrhini,Alouatta,caraya,NA,F,L,W,AQ/Susp,Alouatta_caraya
AMNH211507Alouatta,AMNH,211507,Platyrrhini,Alouatta,caraya,NA,F,L,W,AQ/Susp,Alouatta_caraya
AMNH211512Alouatta,AMNH,211512,Platyrrhini,Alouatta,caraya,NA,F,R,W,AQ/Susp,Alouatta_caraya
AMNH211513Alouatta,AMNH,211513,Platyrrhini,Alouatta,caraya,NA,M,R,W,AQ/Susp,Alouatta_caraya
AMNH211517Alouatta,AMNH,211517,Platyrrhini,Alouatta,caraya,NA,M,R,W,AQ/Susp,Alouatta_caraya
AMNH211520Alouatta,AMNH,211520,Platyrrhini,Alouatta,caraya,NA,F,R,W,AQ/Susp,Alouatta_caraya
AMNH211521Alouatta,AMNH,211521,Platyrrhini,Alouatta,caraya,NA,M,R,W,AQ/Susp,Alouatta_caraya
AMNH211522Alouatta,AMNH,211522,Platyrrhini,Alouatta,caraya,NA,F,R,W,AQ/Susp,Alouatta_caraya
AMNH211523Alouatta,AMNH,211523,Platyrrhini,Alouatta,caraya,NA,M,R,W,AQ/Susp,Alouatta_caraya
AMNH211524Alouatta,AMNH,211524,Platyrrhini,Alouatta,caraya,NA,F,L,W,AQ/Susp,Alouatta_caraya
AMNH211525Alouatta,AMNH,211525,Platyrrhini,Alouatta,caraya,NA,M,R,W,AQ/Susp,Alouatta_caraya
AMNH211526Alouatta,AMNH,211526,Platyrrhini,Alouatta,caraya,NA,M,R,W,AQ/Susp,Alouatta_caraya
AMNH211585Alouatta,AMNH,211585,Platyrrhini,Alouatta,caraya,NA,F,L,W,AQ/Susp,Alouatta_caraya
AMNH215060Alouatta,AMNH,215060,Platyrrhini,Alouatta,caraya,NA,F,R,W,AQ/Susp,Alouatta_caraya
AMNH215061Alouatta,AMNH,215061,Platyrrhini,Alouatta,caraya,NA,M,R,W,AQ/Susp,Alouatta_caraya
AMNH30192Ateles_belzebuth,AMNH,30192,Platyrrhini,Ateles,belzebuth,belzebuth,M,L,W,Suspensory,Ateles_belzebuth
AMNH188126Ateles_belzebuth,AMNH,188126,Platyrrhini,Ateles,belzebuth,NA,F,R,W,Suspensory,Ateles_belzebuth
AMNH188140Ateles_fusciceps,AMNH,188140,Platyrrhini,Ateles,fusciceps,NA,M,L,W,Suspensory,Ateles_fusciceps
FMNH41584Ateles_geoffroyi,FMNH,41584,Platyrrhini,Ateles,geoffroyi,vellerosus,M,L,W,Suspensory,Ateles_geoffroyi
FMNH68811Ateles_fusciceps,FMNH,68811,Platyrrhini,Ateles,fusciceps,robustus,M,L,W,Suspensory,Ateles_fusciceps
FMNH68822Ateles_fusciceps,FMNH,68822,Platyrrhini,Ateles,fusciceps,robustus,M,R,W,Suspensory,Ateles_fusciceps
FMNH68823Ateles_fusciceps,FMNH,68823,Platyrrhini,Ateles,fusciceps,robustus,M,R,W,Suspensory,Ateles_fusciceps
FMNH93102Ateles_fusciceps,FMNH,93102,Platyrrhini,Ateles,fusciceps,robustus,M,R,W,Suspensory,Ateles_fusciceps
FMNH93244Ateles_paniscus,FMNH,93244,Platyrrhini,Ateles,paniscus,paniscus,F,R,W,Suspensory,Ateles_paniscus
FMNH95498Ateles_paniscus,FMNH,95498,Platyrrhini,Ateles,paniscus,paniscus,F,R,W,Suspensory,Ateles_paniscus
FMNH68810-aAteles_fusciceps,FMNH,68810-a,Platyrrhini,Ateles,fusciceps,robustus,M,R,W,Suspensory,Ateles_fusciceps
FMNH68810-bAteles_fusciceps,FMNH,68810-b,Platyrrhini,Ateles,fusciceps,robustus,M,R,W,Suspensory,Ateles_fusciceps
NMNH276631Ateles_geoffroyi,NMNH,276631,Platyrrhini,Ateles,geoffroyi,vellerosus,F,R,Z,Suspensory,Ateles_geoffroyi
NMNH338111Ateles_fusciceps,NMNH,338111,Platyrrhini,Ateles,fusciceps,robustus,F,R,W,Suspensory,Ateles_fusciceps
