,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60
AMNH211495Alouatta,235.12,-63.41,254.66,276.46,-61.9,247.61,269.43,-61.74,247.86,217.96,-37.54,245.87,259.44,-42.22,235.31,271.18,-48.85,236.29,301.79,-53.53,229.05,315.3,-58.15,224.94,287.2,-61.61,244.59,303.79,-60.6,236.43,295.6,-58.4,248.81,303.93,-58.64,239.73,297.06,-51.8,240.74,292.5,-58.63,232.31,324.83,-59,228.53,312.66,-31.96,274.48,326.68,-34.51,263.49,246.81,-41.62,252.08,285.68,-53.96,252.82,270.53,-51.02,250.31
AMNH211496Alouatta,190.22,128.7,279.76,220,154.62,258.76,211.71,148.72,261.04,156.04,136.27,278.72,188.24,157.38,254.2,200.78,158.34,250.86,229.48,176.09,228.92,243.56,179.35,220.96,226.44,161.93,252.16,235.45,171.1,237.44,231.05,168.27,253.41,234.74,173.68,240.67,224.74,174.72,244.47,223.5,164.77,237.46,252.63,183.36,222.88,234.67,203.65,276.33,247.74,211.37,261.14,185.12,153.57,270.32,220.99,166.82,261.42,206.15,159.95,262.79
AMNH211498Alouatta,185.93,126.95,270.06,216.14,145.03,258.78,219.8,147.08,257.85,162.61,140.9,257.62,193.38,155.86,245.84,211.43,158.76,244.86,243.37,175.1,232.54,261.14,176.87,228.94,234.7,159.14,253.88,248.88,171.55,243.22,239.95,167.99,257.1,247.06,172.58,245.26,236.96,174.49,247.77,236.44,162.93,238.08,268.56,182.39,232.01,240.72,202.51,282.62,255.92,211.63,268.33,188.27,151.98,263.54,225.21,164.18,260.87,213.9,159.28,259.07
AMNH211501Alouatta,174.65,147.82,256.84,211.61,156.46,250.6,202.6,154.05,250.82,150.71,164.18,243.08,185.82,167.92,235.79,200.88,164.11,237.43,234.54,165.07,230.52,247.1,161.88,230.29,220.65,158.82,248.34,235.84,160.92,240.84,226.78,163.01,251,234.41,164.38,242.68,228.27,168.03,242.94,225.27,159.11,235.67,255.96,165.81,233.79,234.12,192.76,273.64,251.8,191.83,262.03,175.7,166.97,251.06,216.31,165.38,253.25,202.63,163.65,250.47
AMNH211502Alouatta,222.11,145.22,263.22,192.53,133.42,252.18,195.96,135.98,251.7,230.88,177.58,249.91,194.79,158.1,241.81,187.65,145.92,238.73,159.1,127.97,229.93,151.1,114.11,228.79,176.65,128.11,248.07,162.42,122.07,240.12,167.69,128.71,250.62,161.69,125.31,241.99,164.53,133.06,242.68,171.57,127.35,235.27,144.67,111.56,230.25,143.12,145.72,275.38,128.63,136.75,264.71,206.62,160.39,254.99,178.77,136.41,254.51,189.42,145.04,252.55
AMNH211507Alouatta,274.84,-65.42,254.98,237.77,-52.36,252.24,250.41,-55.24,250.92,299.12,-51.22,236.01,259.04,-42.59,236.3,250.84,-43.86,237.98,218.07,-40.6,234.76,206.58,-41.12,232.59,231.71,-50.96,250.66,216.28,-45.88,243.41,223.5,-43.84,254.47,217.22,-44.09,247.59,225.91,-39.45,246.7,227.17,-47.16,239.52,196.32,-40.59,238.87,222.02,-20.35,278.44,204.17,-17.94,269.82,272.02,-44.87,247.43,236.5,-43.6,256.7,250.64,-45.48,250.14
AMNH211512Alouatta,194.67,124.24,262.24,227.91,156.81,252.88,212.7,144.53,255.52,165.35,131.29,254.53,187.43,152.54,249.33,209.37,158.92,243.96,235.37,176.47,235.08,248.45,181.18,230.39,231.63,160.46,251.7,242.39,173.33,242.74,236.44,168.74,255.31,241.27,173.94,245.9,231.58,175.04,247.43,230.87,166.38,239.04,258.13,187.32,234.09,230.09,197.61,282.62,245.44,206.94,271.22,190.31,148.31,258.53,227.05,165.57,260.86,207.82,153.85,257.98
AMNH211513Alouatta,23.57,166.3,261.04,17.41,219.35,251.61,19.72,197.81,251.61,2.12,153.71,249.54,3.44,185.59,238.31,4.63,201.26,237.47,5.45,240.85,226.11,11.51,253.95,220.05,16.24,225.95,247.96,13.01,242.77,236.74,11.07,235.04,251.3,10.89,242.51,239.49,4.45,234.22,240.94,12.76,230.81,232.91,12.44,266.13,224.59,-18.47,257.23,275.48,-17.19,273.26,259.83,5.49,177.19,253.78,6.79,219.57,252.16,7.01,200.37,251.6
AMNH211517Alouatta,18.42,173.1,253.07,14.67,213.9,246.58,14.41,198.87,246.7,-3.12,160.08,240.61,-3.05,187.23,234.07,1.6,200.23,234.71,3.66,234.34,226.56,8.14,246.63,221.4,12.38,221.84,245.06,10.34,237.46,234.35,8.48,230.81,247.93,8.99,237.33,237.55,2.94,229.33,238.21,9.91,225.35,231.76,9.75,255.86,226.45,-13.97,242.6,271.37,-12.45,260.75,258.74,0.84,183.63,249.32,5,215.45,248.77,3.8,200.29,248.02
AMNH211520Alouatta,195.49,131.14,259.06,228.86,153.18,248.26,218.65,146.98,250.11,175.36,143.11,243.61,197.28,155.24,237.89,213.5,157.64,238.14,242.24,172.88,227.42,255.29,175.06,222.53,236.6,159.37,245.05,248.08,168.54,236.07,240.86,164.87,246.68,247.13,169.09,237.79,237.74,170.55,238.76,236.8,162.81,231.95,264.44,180.24,226.86,239.55,193.91,271.11,253.44,200.32,257.45,193.4,150.18,254.22,228.95,162.22,251.33,216.28,157.3,249.97
