specimen,taxon,loco
AMNH211495Alouatta,Alouatta_caraya,Susp
AMNH211496Alouatta,Alouatta_caraya,Susp
AMNH211498Alouatta,Alouatta_caraya,Susp
AMNH211501Alouatta,Alouatta_caraya,Susp
AMNH211502Alouatta,Alouatta_caraya,Susp
AMNH211507Alouatta,Alouatta_caraya,Susp
AMNH211512Alouatta,Alouatta_caraya,Susp
AMNH211513Alouatta,Alouatta_caraya,Susp
AMNH211517Alouatta,Alouatta_caraya,Susp
AMNH211520Alouatta,Alouatta_caraya,Susp
AMNH211521Alouatta,Alouatta_caraya,Susp
AMNH211522Alouatta,Alouatta_caraya,Susp
AMNH211523Alouatta,Alouatta_caraya,Susp
AMNH211524Alouatta,Alouatta_caraya,Susp
AMNH211525Alouatta,Alouatta_caraya,Susp
AMNH211526Alouatta,Alouatta_caraya,Susp
AMNH211585Alouatta,Alouatta_caraya,Susp
AMNH215060Alouatta,Alouatta_caraya,Susp
AMNH215061Alouatta,Alouatta_caraya,Susp
AMNH30192Ateles_belzebuth,Ateles_belzebuth,Susp
AMNH188126Ateles_belzebuth,Ateles_belzebuth,Susp
AMNH188140Ateles_fusciceps,Ateles_fusciceps,Susp
FMNH41584Ateles_geoffroyi,Ateles_geoffroyi,Susp
FMNH68811Ateles_fusciceps,Ateles_fusciceps,Susp
FMNH68822Ateles_fusciceps,Ateles_fusciceps,Susp
FMNH68823Ateles_fusciceps,Ateles_fusciceps,Susp
FMNH93102Ateles_fusciceps,Ateles_fusciceps,Susp
FMNH93244Ateles_paniscus,Ateles_paniscus,Susp
FMNH95498Ateles_paniscus,Ateles_paniscus,Susp
FMNH68810-aAteles_fusciceps,Ateles_fusciceps,Susp
FMNH68810-bAteles_fusciceps,Ateles_fusciceps,Susp
NMNH276631Ateles_geoffroyi,Ateles_geoffroyi,Susp
NMNH338111Ateles_fusciceps,Ateles_fusciceps,Susp
NMNH338112Ateles_fusciceps,Ateles_fusciceps,Susp
NMNH338113Ateles_fusciceps,Ateles_fusciceps,Susp
NMNH338114Ateles_fusciceps,Ateles_fusciceps,Susp
NMNH338115Ateles_fusciceps,Ateles_fusciceps,Susp
NMNH338116Ateles_fusciceps,Ateles_fusciceps,Susp
FMNH60799Cebuella_pygmaea,Cebuella_pygmaea,AQ/Leap
FMNH124560Cebuella_pygmaea,Cebuella_pygmaea,AQ/Leap
FMNH124561Cebuella_pygmaea,Cebuella_pygmaea,AQ/Leap
FMNH127379Cebuella_pygmaea,Cebuella_pygmaea,AQ/Leap
FMNH137074Cebuella_pygmaea,Cebuella_pygmaea,AQ/Leap
FMNH140356Cebuella_pygmaea,Cebuella_pygmaea,AQ/Leap
NMNH337319Cebuella_pygmaea,Cebuella_pygmaea,AQ/Leap
NMNH337322Cebuella_pygmaea,Cebuella_pygmaea,AQ/Leap
NMNH337323Cebuella_pygmaea,Cebuella_pygmaea,AQ/Leap
NMNH337324Cebuella_pygmaea,Cebuella_pygmaea,AQ/Leap
NMNH337329Cebuella_pygmaea,Cebuella_pygmaea,AQ/Leap
NMNH337330Cebuella_pygmaea,Cebuella_pygmaea,AQ/Leap
AMNH133606Cebus_apella,Cebus_apella,AQ
AMNH133628Cebus_apella,Cebus_apella,AQ
AMNH133637Cebus_apella,Cebus_apella,AQ
AMNH133656Cebus_apella,Cebus_apella,AQ
AMNH133662Cebus_apella,Cebus_apella,AQ
AMNH133665Cebus_apella,Cebus_apella,AQ
AMNH133674Cebus_apella,Cebus_apella,AQ
AMNH133815Cebus_apella,Cebus_apella,AQ
AMNH133851Cebus_apella,Cebus_apella,AQ
AMNH188015Cebus_albifrons,Cebus_albifrons,AQ
AMNH188016Cebus_albifrons,Cebus_albifrons,AQ
AMNH188030Cebus_apella,Cebus_apella,AQ
AMNH188033Cebus_apella,Cebus_apella,AQ
AMNH188035Cebus_apella,Cebus_apella,AQ
AMNH188036Cebus_apella,Cebus_apella,AQ
AMNH188037Cebus_apella,Cebus_apella,AQ
AMNH188038Cebus_apella,Cebus_apella,AQ
AMNH188041Cebus_apella,Cebus_apella,AQ
AMNH188046Cebus_apella,Cebus_apella,AQ
AMNH188047Cebus_apella,Cebus_apella,AQ
AMNH188051Cebus_apella,Cebus_apella,AQ
AMNH209926Cebus_albifrons,Cebus_albifrons,AQ
AMNH209927Cebus_apella,Cebus_apella,AQ
AMNH211559Cebus_albifrons,Cebus_albifrons,AQ
AMNH211562Cebus_albifrons,Cebus_albifrons,AQ
AMNH211566Cebus_albifrons,Cebus_albifrons,AQ
AMNH211567Cebus_albifrons,Cebus_albifrons,AQ
AMNH211569Cebus_albifrons,Cebus_albifrons,AQ
AMNH211570Cebus_albifrons,Cebus_albifrons,AQ
AMNH211574Cebus_albifrons,Cebus_albifrons,AQ
AMNH211578Cebus_apella,Cebus_apella,AQ
AMNH211579Cebus_apella,Cebus_apella,AQ
AMNH211582Cebus_albifrons,Cebus_albifrons,AQ
AMNH211587Cebus_albifrons,Cebus_albifrons,AQ
AMNH211589Cebus_albifrons,Cebus_albifrons,AQ
AMNH211590Cebus_albifrons,Cebus_albifrons,AQ
BMNH1859-2-8-2Cercocebus_torquatus,Cercocebus_torquatus,AQ/TQ
BMNH1938-7-7-2Cercocebus_torquatus,Cercocebus_torquatus,AQ/TQ
BMNH1938-7-7-5Cercocebus_torquatus,Cercocebus_torquatus,AQ/TQ
BMNH1948-450Cercocebus_torquatus_torquatus,Cercocebus_torquatus,AQ/TQ
FMNH73808Cercocebus_torquatus_torquatus,Cercocebus_torquatus,AQ/TQ
FMNH73809Cercocebus_torquatus_torquatus,Cercocebus_torquatus,AQ/TQ
MNHN1899-107Cercocebus_torquatus,Cercocebus_torquatus,AQ/TQ
MNHN1966-311Cercocebus_torquatus,Cercocebus_torquatus,AQ/TQ
MNHN1978-109Cercocebus_torquatus,Cercocebus_torquatus,AQ/TQ
MNHN1995-1545Cercocebus_torquatus,Cercocebus_torquatus,AQ/TQ
BMNH2005-196Cercopithecus_mitis,Cercopithecus_mitis,AQ
BMNH72-52Cercopithecus_mitis_kibonotensis,Cercopithecus_mitis,AQ
BMNH72-53Cercopithecus_mitis_kibonotensis,Cercopithecus_mitis,AQ
BMNH72-54Cercopithecus_mitis_kibonotensis,Cercopithecus_mitis,AQ
BMNH72-58Cercopithecus_mitis_kolbi,Cercopithecus_mitis,AQ
BMNH72-59Cercopithecus_mitis_kolbi,Cercopithecus_mitis,AQ
BMNH72-60Cercopithecus_mitis_kolbi,Cercopithecus_mitis,AQ
BMNH72-63Cercopithecus_mitis_kolbi,Cercopithecus_mitis,AQ
BMNH72-65Cercopithecus_mitis_kolbi,Cercopithecus_mitis,AQ
BMNH72-66Cercopithecus_mitis_kolbi,Cercopithecus_mitis,AQ
BMNH72-76Cercopithecus_mitis_stuhlmanni,Cercopithecus_mitis,AQ
BMNH72-78Cercopithecus_mitis_stuhlmanni,Cercopithecus_mitis,AQ
BMNH72-80Cercopithecus_mitis_stuhlmanni,Cercopithecus_mitis,AQ
BMNH72-82Cercopithecus_mitis_stuhlmanni,Cercopithecus_mitis,AQ
BMNH72-83Cercopithecus_mitis_stuhlmanni,Cercopithecus_mitis,AQ
BMNH72-85Cercopithecus_mitis_stuhlmanni,Cercopithecus_mitis,AQ
BMNH72-87Cercopithecus_mitis_stuhlmanni,Cercopithecus_mitis,AQ
BMNH72-90Cercopithecus_mitis,Cercopithecus_mitis,AQ
NMNH452556Cercopithecus_mitis_kolbi,Cercopithecus_mitis,AQ
NMNH452574Cercopithecus_mitis_kolbi,Cercopithecus_mitis,AQ
NMNH452578Cercopithecus_mitis_kolbi,Cercopithecus_mitis,AQ
NMNH452581Cercopithecus_mitis_kolbi?,Cercopithecus_mitis,AQ
NMNH452588Cercopithecus_mitis_kolbi,Cercopithecus_mitis,AQ
NMNH470262Cercopithecus_mitis,Cercopithecus_mitis,AQ
BMNH1977-3149Chlorocebus_aethiops,Chlorocebus_aethiops,AQ/TQ
BMNH72-23Chlorocebus_aethiops_arenarius,Chlorocebus_aethiops,AQ/TQ
BMNH72-27Chlorocebus_aethiops_pygerythrus,Chlorocebus_aethiops,AQ/TQ
BMNH72-29Chlorocebus_aethiops_pygerythrus,Chlorocebus_aethiops,AQ/TQ
BMNH72-30Chlorocebus_aethiops_pygerythrus,Chlorocebus_aethiops,AQ/TQ
BMNH72-36Chlorocebus_aethiops,Chlorocebus_aethiops,AQ/TQ
MNHN1894-530Chlorocebus_aethiops_cynosuros,Chlorocebus_aethiops,AQ/TQ
MNHN1898-308Chlorocebus_aethiops_sabaeus,Chlorocebus_aethiops,AQ/TQ
MNHN1900-139Chlorocebus_aethiops_sabaeus,Chlorocebus_aethiops,AQ/TQ
MNHN1910-22Chlorocebus_aethiops_sabaeus,Chlorocebus_aethiops,AQ/TQ
MNHN1911-377Chlorocebus_aethiops_sabaeus,Chlorocebus_aethiops,AQ/TQ
MNHN1912-157Chlorocebus_aethiops_sabaeus,Chlorocebus_aethiops,AQ/TQ
MNHN1923-2483Chlorocebus_aethiops_sabaeus,Chlorocebus_aethiops,AQ/TQ
