taxon,loco,N Rows
Alouatta_caraya,Susp,19
Ateles_belzebuth,Susp,2
Ateles_fusciceps,Susp,13
Ateles_geoffroyi,Susp,2
Ateles_paniscus,Susp,2
Cebuella_pygmaea,AQ/Leap,12
Cebus_albifrons,AQ,14
Cebus_apella,AQ,22
Cercocebus_torquatus,AQ/TQ,10
Cercopithecus_mitis,AQ,24
Chlorocebus_aethiops,AQ/TQ,20
Colobus_guereza,AQ/Leap,23
Daubentonia_madagascariensis,AQ,8
Erythrocebus_patas,TQ,5
Eulemur_fulvus_albifrons,AQ,8
Eulemur_fulvus_collaris,AQ,5
Eulemur_fulvus_fulvus,AQ,8
Galago_moholi,VCL,1
Galago_senegalensis,VCL,28
Gorilla_beringei,TQ,3
Gorilla_gorilla,TQ,17
Hapalemur_griseus,VCL,14
Hapalemur_simus,VCL,1
Hylobates_hoolock,Susp,11
Hylobates_lar,Susp,23
Indri_indri,VCL,7
Lagothrix_lagotricha,Susp,10
Lemur_catta,AQ/TQ,23
Leontopithecus_chrysomelas,AQ/Leap,5
Leontopithecus_rosalia,AQ/Leap,13
Lepilemur_edwardsi,VCL,1
Lepilemur_leucopus,VCL,14
Lepilemur_mustelinus,VCL,4
Macaca_fascicularis,AQ,35
Macaca_nemestrina,TQ,12
Mandrillus_sphinx,TQ,8
Miopithecus_talapoin,AQ,15
Nasalis_larvatus,AQ/Leap,20
Nycticebus_bengalensis,Slow,3
Nycticebus_coucang,Slow,5
Nycticebus_javanicus,Slow,1
Nycticebus_menagensis,Slow,5
Otolemur_crassicaudatus,AQ,24
Pan_troglodytes,TQ,37
Papio_anubis,TQ,19
Papio_cynocephalus,TQ,10
Papio_hamadryas,TQ,5
Papio_papio,TQ,2
Papio_ursinus,TQ,5
Perodicticus_potto,Slow,24
Pongo_abelii,Susp,1
Pongo_pygmaeus,Susp,15
Procolobus_badius,AQ/Leap,8
Propithecus_verreauxi,VCL,28
Saimiri_boliviensis,AQ,16
Saimiri_sciureus,AQ,2
Symphalangus_syndactylus,Susp,9
Theropithecus_gelada,TQ,6
Varecia_variegata,AQ,14
